action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,name
,,18479518,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL63,ROLIPRAM,CHEMBL63,7.35,0,http://www.openphacts.org/units/Nanomolar,3066988,=,1,1,=,,IC50,nM,,44.6,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,44.6,C16H21NO3
,,18479524,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL240624,PRELADENANT,CHEMBL240624,6.87,0,http://www.openphacts.org/units/Nanomolar,3066989,=,1,1,=,,IC50,nM,,136.1,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,136.1,C25H29N9O3
,,18479530,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL430893,(-)-ROLIPRAM,CHEMBL430893,7.11,0,http://www.openphacts.org/units/Nanomolar,3066990,=,1,1,=,,IC50,nM,,77.6,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,77.6,C16H21NO3
,,18479535,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL325795,S-ROLIPRAM,CHEMBL325795,7.59,0,http://www.openphacts.org/units/Nanomolar,3066991,=,1,1,=,,IC50,nM,,25.8,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,25.8,C16H21NO3
,,18479540,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCOc1cc([C@]2(C)CNC(=O)O2)ccc1OC,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL603830,DAXALIPRAM,CHEMBL603830,6.11,0,http://www.openphacts.org/units/Nanomolar,3066993,=,1,1,=,,IC50,nM,,769.1,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,769.1,C14H19NO4
,,18479545,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CN1CC(=O)N2[C@H](CC3c4ccccc4NC3[C@H]2c2ccc3c(c2)OCO3)C1=O,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL177542,,CHEMBL177542,6.70,0,http://www.openphacts.org/units/Nanomolar,3066994,=,1,1,=,,IC50,nM,,200.9,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,200.9,C22H21N3O4
,,18479550,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,O=S(=O)(c1c(F)c(F)c(F)c(F)c1F)N1CCN(c2ccccc2)CC1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4214820,,CHEMBL4214820,9.06,0,http://www.openphacts.org/units/Nanomolar,3066986,=,1,1,=,,IC50,nM,,0.87,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,0.87,C16H13F5N2O2S
,,18479556,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,O[C@H]1CC[C@H](Nc2nc(-c3ccccc3)nc3[nH]ccc23)CC1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL4204703,,CHEMBL4204703,7.23,0,http://www.openphacts.org/units/Nanomolar,3066995,=,1,1,=,,IC50,nM,,58.6,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,58.6,C18H20N4O
,,18479561,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL136689,,CHEMBL136689,5.51,0,http://www.openphacts.org/units/Nanomolar,3066996,=,1,1,=,,IC50,nM,,3062.0,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,3062.0,C20H19N7O2
,,18479566,[],CHEMBL4184680,Antiviral activity against Zika virus infected in human A549 cells preincubated for 5 hrs followed by compound wash measured after 48 hrs by viral plague-forming assay,F,,,BAO_0000190,BAO_0000218,organism-based format,CCCn1c(=O)[nH]c2nc(-c3ccc(S(=O)(=O)N4CCN(c5ccc(Cl)cc5)CC4)cc3)[nH]c2c1=O,,,CHEMBL4184095,Bioorg Med Chem Lett,2018,,CHEMBL483688,,CHEMBL483688,7.36,0,http://www.openphacts.org/units/Nanomolar,3066997,=,1,1,=,,IC50,nM,,43.8,CHEMBL4296612,Zika virus,Zika virus,64320,,,IC50,nM,UO_0000065,,43.8,C24H25ClN6O4S
